minimum_nights,number_of_reviews,room_type,calculated_host_listings_count,availability_365,neighbourhood,price
0.0016012810248198558,0.009538950715421305,0.5,0.0,0.33424657534246577,0.20909090909090908,64
0.0032025620496397116,0.007949125596184421,0.0,0.0,0.008219178082191782,0.05454545454545454,45
0.0008006405124099279,0.011128775834658189,0.0,0.0,0.810958904109589,0.2954545454545454,80
0.010408326661329063,0.001589825119236884,0.0,0.0,0.008219178082191782,0.06363636363636363,140
0.0,0.0,0.0,0.009202453987730062,0.008219178082191782,0.07272727272727272,149
0.0008006405124099279,0.04769475357710652,0.5,0.0,0.7835616438356164,0.09545454545454544,105
0.0016012810248198558,0.0,0.5,0.0,0.452054794520548,0.004545454545454545,350
0.0,0.0,0.0,0.0,0.03561643835616438,0.13636363636363635,90
0.0008006405124099279,0.004769475357710652,0.5,0.0,0.008219178082191782,0.19545454545454544,127
0.0016012810248198558,0.0,0.5,0.0,0.008219178082191782,0.09545454545454544,215
0.0032025620496397116,0.011128775834658189,0.0,0.003067484662576687,0.008219178082191782,0.12727272727272726,65
0.0016012810248198558,0.001589825119236884,0.5,0.0,0.9397260273972603,0.3181818181818182,60
0.0016012810248198558,0.151033386327504,0.5,0.003067484662576687,0.8575342465753425,0.05909090909090909,225
0.0008006405124099279,0.11764705882352942,0.5,0.0,0.136986301369863,0.02727272727272727,199
0.0008006405124099279,0.011128775834658189,0.5,0.0,0.008219178082191782,0.11818181818181818,120
0.0008006405124099279,0.014308426073131956,0.0,0.009202453987730062,0.4931506849315069,0.24545454545454545,58
0.0008006405124099279,0.001589825119236884,0.5,0.0,0.008219178082191782,0.16818181818181818,200
0.0,0.001589825119236884,0.0,0.015337423312883437,0.0,0.24545454545454545,99
0.0016012810248198558,0.11287758346581876,0.0,0.02147239263803681,0.41643835616438357,0.3181818181818182,75
0.0024019215372297837,0.022257551669316377,0.0,0.006134969325153375,0.008219178082191782,0.13636363636363635,75
0.0008006405124099279,0.02702702702702703,0.5,0.006134969325153375,0.008219178082191782,0.09545454545454544,150
0.0008006405124099279,0.001589825119236884,0.5,0.0,0.008219178082191782,0.05909090909090909,140
0.0008006405124099279,0.011128775834658189,0.5,0.0,0.11506849315068493,0.004545454545454545,245
0.0024019215372297837,0.0,0.5,0.0,0.8712328767123287,0.00909090909090909,250
0.023218574859887906,0.011128775834658189,0.5,0.15644171779141103,0.7945205479452054,0.09090909090909091,159
0.0008006405124099279,0.004769475357710652,0.5,0.0,0.4054794520547945,0.20909090909090908,129
0.0024019215372297837,0.001589825119236884,0.0,0.0,0.008219178082191782,0.02727272727272727,45
0.047237790232185745,0.0,0.0,0.0,0.0,0.03636363636363636,120
0.0008006405124099279,0.09220985691573927,0.5,0.015337423312883437,0.2547945205479452,0.013636363636363636,248
0.0,0.007949125596184421,0.5,0.0,0.547945205479452,0.004545454545454545,500
0.0,0.001589825119236884,0.0,0.0,0.008219178082191782,0.10909090909090909,50
0.0008006405124099279,0.031796502384737683,0.5,0.0,0.40821917808219177,0.45909090909090905,158
0.0,0.10810810810810811,0.0,0.0,0.008219178082191782,0.01818181818181818,79
0.0032025620496397116,0.001589825119236884,0.0,0.0,0.9780821917808219,0.05454545454545454,60
0.0,0.06041335453100159,0.0,0.0,0.0,0.1590909090909091,40
0.01841473178542834,0.0,0.0,0.0,0.6328767123287671,0.07272727272727272,49
0.023218574859887906,0.0,0.0,0.003067484662576687,0.04657534246575343,0.03636363636363636,128
0.0016012810248198558,0.025437201907790145,0.0,0.0,0.008219178082191782,0.049999999999999996,100
0.004803843074459567,0.004769475357710652,0.5,0.0,0.008219178082191782,0.031818181818181815,160
0.0016012810248198558,0.06041335453100159,0.5,0.0,0.2219178082191781,0.22272727272727272,135
